HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,Season
Man City,Tottenham,3,2,H,1.91,3.6,4.0,1.77,2.03,2011
Everton,Man City,1,0,H,4.33,3.5,1.85,1.96,1.83,2011
Man United,Stoke,2,0,H,1.33,5.0,10.0,1.63,2.25,2011
Swansea,Chelsea,1,1,D,4.0,3.25,2.0,2.05,1.76,2011
Tottenham,Wigan,3,1,H,1.22,6.0,15.0,1.52,2.43,2011
Wolves,Liverpool,0,3,A,5.0,3.8,1.7,1.96,1.83,2011
Aston Villa,QPR,2,2,D,1.8,3.5,4.75,2.02,1.78,2011
Blackburn,Newcastle,0,2,A,2.63,3.3,2.7,1.78,2.02,2011
Bolton,Arsenal,0,0,D,5.0,3.75,1.7,1.63,2.23,2011
Fulham,West Brom,1,1,D,1.83,3.5,4.5,1.91,1.86,2011
Sunderland,Norwich,3,0,H,1.91,3.5,4.2,1.86,1.92,2011
Arsenal,Blackburn,7,1,H,1.29,5.5,11.0,1.54,2.35,2011
Man City,Fulham,3,0,H,1.3,5.5,10.0,1.58,2.27,2011
Norwich,Bolton,2,0,H,2.0,3.5,3.75,1.75,2.05,2011
QPR,Wolves,1,2,A,1.91,3.6,4.0,1.89,1.9,2011
Stoke,Sunderland,0,1,A,2.25,3.25,3.3,2.07,1.73,2011
West Brom,Swansea,1,2,A,2.1,3.3,3.6,2.14,1.69,2011
Wigan,Everton,1,1,D,3.5,3.4,2.1,2.04,1.76,2011
Chelsea,Man United,3,3,D,2.5,3.3,2.88,1.94,1.84,2011
Newcastle,Aston Villa,2,1,H,2.0,3.4,3.8,1.91,1.87,2011
Liverpool,Tottenham,0,0,D,2.0,3.4,3.8,2.03,1.77,2011
Blackburn,QPR,3,2,H,2.38,3.3,3.0,1.88,1.9,2011
Bolton,Wigan,1,2,A,2.0,3.5,3.75,1.75,2.05,2011
Everton,Chelsea,2,0,H,3.25,3.3,2.25,2.09,1.72,2011
Fulham,Stoke,2,1,H,1.91,3.5,4.0,2.13,1.7,2011
Man United,Liverpool,2,1,H,1.85,3.6,4.33,1.95,1.84,2011
Sunderland,Arsenal,1,2,A,3.5,3.4,2.1,1.9,1.88,2011
Swansea,Norwich,2,3,A,1.83,3.5,4.5,1.94,1.85,2011
Tottenham,Newcastle,5,0,H,1.44,4.33,7.5,1.68,2.16,2011
Aston Villa,Man City,0,1,A,5.5,3.6,1.67,1.88,1.9,2011
Wolves,West Brom,1,5,A,2.5,3.25,2.88,1.87,1.91,2011
Chelsea,Bolton,3,0,H,1.29,5.5,11.0,1.51,2.43,2011
Man City,Blackburn,3,0,H,1.17,7.0,17.0,1.35,2.98,2011
Newcastle,Wolves,2,2,D,1.57,4.0,6.0,1.76,2.04,2011
QPR,Fulham,0,1,A,2.63,3.25,2.75,2.01,1.78,2011
West Brom,Sunderland,4,0,H,2.4,3.25,3.0,2.05,1.75,2011
Wigan,Aston Villa,0,0,D,2.75,3.25,2.63,2.03,1.77,2011
Arsenal,Tottenham,5,2,H,2.5,3.4,2.75,1.7,2.13,2011
Norwich,Man United,1,2,A,6.5,4.0,1.53,1.63,2.23,2011
Stoke,Swansea,2,0,H,2.1,3.4,3.5,2.17,1.67,2011
Blackburn,Aston Villa,1,1,D,2.38,3.4,3.0,1.84,1.94,2011
Liverpool,Arsenal,1,2,A,2.0,3.5,3.75,1.85,1.93,2011
Man City,Bolton,2,0,H,1.13,8.5,21.0,1.3,3.24,2011
QPR,Everton,1,1,D,3.1,3.25,2.38,2.07,1.72,2011
Stoke,Norwich,1,0,H,1.83,3.5,4.5,1.88,1.9,2011
West Brom,Chelsea,1,0,H,4.2,3.4,1.91,1.91,1.87,2011
Wigan,Swansea,0,2,A,2.5,3.25,2.88,2.08,1.72,2011
Fulham,Wolves,5,0,H,1.57,3.75,6.5,1.76,2.03,2011
Newcastle,Sunderland,1,1,D,2.1,3.4,3.5,1.95,1.83,2011
Tottenham,Man United,1,3,A,2.88,3.4,2.4,1.76,2.03,2011
Aston Villa,Fulham,1,0,H,2.5,3.25,2.88,2.04,1.75,2011
Bolton,QPR,2,1,H,2.5,3.25,2.88,1.87,1.91,2011
Chelsea,Stoke,1,0,H,1.4,4.5,8.5,1.76,2.03,2011
Everton,Tottenham,1,0,H,2.88,3.25,2.5,2.01,1.77,2011
Sunderland,Liverpool,1,0,H,3.8,3.4,2.0,2.1,1.7,2011
Wolves,Blackburn,0,2,A,2.38,3.3,3.0,1.73,2.06,2011
Man United,West Brom,2,0,H,1.29,5.5,11.0,1.53,2.39,2011
Norwich,Wigan,1,1,D,1.83,3.6,4.33,1.8,1.98,2011
Swansea,Man City,1,0,H,6.0,3.75,1.62,1.88,1.89,2011
Arsenal,Newcastle,2,1,H,1.44,4.33,7.5,1.59,2.24,2011
Liverpool,Everton,3,0,H,1.73,3.4,5.5,2.07,1.74,2011
Fulham,Swansea,0,3,A,1.83,3.5,4.5,2.02,1.76,2011
Wigan,West Brom,1,1,D,2.75,3.3,2.6,1.96,1.83,2011
Newcastle,Norwich,1,0,H,1.8,3.6,4.5,1.69,2.12,2011
Wolves,Man United,0,5,A,9.0,5.0,1.33,1.53,2.37,2011
Blackburn,Sunderland,2,0,H,2.4,3.4,2.88,1.95,1.84,2011
Everton,Arsenal,0,1,A,3.0,3.4,2.3,1.98,1.81,2011
Man City,Chelsea,2,1,H,1.91,3.6,4.0,1.86,1.92,2011
QPR,Liverpool,3,2,H,5.0,3.6,1.73,1.95,1.83,2011
Tottenham,Stoke,1,1,D,1.4,4.5,8.5,1.71,2.1,2011
Arsenal,Aston Villa,3,0,H,1.33,5.0,10.0,1.66,2.17,2011
Bolton,Blackburn,2,1,H,2.4,3.4,2.9,1.76,2.03,2011
Chelsea,Tottenham,0,0,D,1.83,3.6,4.33,1.75,2.03,2011
Liverpool,Wigan,1,2,A,1.29,5.5,11.0,1.62,2.24,2011
Norwich,Wolves,2,1,H,1.73,3.75,4.75,1.69,2.13,2011
Stoke,Man City,1,1,D,6.0,3.75,1.62,1.96,1.82,2011
Sunderland,QPR,3,1,H,2.0,3.4,3.8,1.98,1.81,2011
Swansea,Everton,0,2,A,2.2,3.25,3.4,2.26,1.61,2011
West Brom,Newcastle,1,3,A,2.3,3.4,3.1,1.85,1.93,2011
Man United,Fulham,1,0,H,1.22,6.0,15.0,1.57,2.31,2011
Aston Villa,Chelsea,2,4,A,4.5,3.5,1.83,1.98,1.8,2011
Everton,West Brom,2,0,H,1.83,3.5,4.5,1.94,1.84,2011
Fulham,Norwich,2,1,H,1.7,3.75,5.0,1.71,2.09,2011
Man City,Sunderland,3,3,D,1.22,6.5,12.0,1.53,2.4,2011
QPR,Arsenal,2,1,H,5.5,4.2,1.57,1.7,2.1,2011
Wigan,Stoke,2,0,H,2.63,3.25,2.75,2.23,1.63,2011
Wolves,Bolton,2,3,A,2.3,3.4,3.1,1.7,2.12,2011
Newcastle,Liverpool,2,0,H,2.88,3.4,2.4,1.91,1.88,2011
Tottenham,Swansea,3,1,H,1.4,4.5,8.5,1.78,2.02,2011
Blackburn,Man United,0,2,A,9.0,4.75,1.36,1.58,2.3,2011
Swansea,Newcastle,0,2,A,2.4,3.4,2.88,2.01,1.79,2011
Bolton,Fulham,0,3,A,2.6,3.3,2.75,1.88,1.91,2011
Chelsea,Wigan,2,1,H,1.25,6.0,12.0,1.54,2.39,2011
Liverpool,Aston Villa,1,1,D,1.44,4.33,7.5,1.75,2.05,2011
Norwich,Everton,2,2,D,3.0,3.3,2.4,2.07,1.74,2011
Stoke,Wolves,2,1,H,1.57,4.0,6.0,1.81,1.99,2011
Sunderland,Tottenham,0,0,D,3.3,3.4,2.2,1.88,1.92,2011
West Brom,Blackburn,3,0,H,1.91,3.6,4.0,1.76,2.04,2011
Arsenal,Man City,1,0,H,2.4,3.4,2.88,1.76,2.05,2011
Man United,QPR,2,0,H,1.17,7.5,15.0,1.39,2.8,2011
Aston Villa,Stoke,1,1,D,2.2,3.3,3.4,2.2,1.66,2011
Everton,Sunderland,4,0,H,1.83,3.5,4.5,2.11,1.71,2011
Fulham,Chelsea,1,1,D,3.5,3.4,2.1,1.85,1.93,2011
Newcastle,Bolton,2,0,H,1.53,4.2,6.0,1.66,2.19,2011
Tottenham,Norwich,1,2,A,1.29,5.5,11.0,1.47,2.6,2011
Blackburn,Liverpool,2,3,A,3.5,3.4,2.1,1.83,1.96,2011
Man City,West Brom,4,0,H,1.25,5.5,13.0,1.51,2.45,2011
QPR,Swansea,3,0,H,2.1,3.4,3.5,1.94,1.84,2011
Wigan,Man United,1,0,H,9.0,4.75,1.36,1.69,2.12,2011
Wolves,Arsenal,0,3,A,7.0,4.5,1.44,1.53,2.42,2011
Norwich,Man City,1,6,A,6.0,4.2,1.53,1.6,2.27,2011
Sunderland,Wolves,0,0,D,1.5,4.2,6.5,1.68,2.14,2011
Swansea,Blackburn,3,0,H,1.91,3.5,4.0,1.82,1.96,2011
West Brom,QPR,1,0,H,2.1,3.4,3.5,1.84,1.95,2011
Man United,Aston Villa,4,0,H,1.22,6.5,13.0,1.5,2.48,2011
Arsenal,Wigan,1,2,A,1.25,6.0,12.0,1.48,2.55,2011
Arsenal,Chelsea,0,0,D,2.0,3.6,3.6,1.83,1.97,2011
Aston Villa,Sunderland,0,0,D,2.3,3.3,3.2,2.1,1.71,2011
Blackburn,Norwich,2,0,H,2.1,3.4,3.5,1.68,2.15,2011
Bolton,Swansea,1,1,D,2.2,3.3,3.4,1.79,2.0,2011
Fulham,Wigan,2,1,H,1.91,3.6,4.0,1.81,1.98,2011
Newcastle,Stoke,3,0,H,1.67,3.75,5.5,1.92,1.87,2011
QPR,Tottenham,1,0,H,4.0,3.6,1.91,1.79,2.01,2011
Liverpool,West Brom,0,1,A,1.44,4.33,7.5,1.67,2.16,2011
Man United,Everton,4,4,D,1.3,5.0,11.0,1.63,2.24,2011
Wolves,Man City,0,2,A,12.0,6.5,1.22,1.44,2.65,2011
